State,Year,Period,Labor_Force_Participation_Ratio,Employment_Participation_Ratio,Labor_Force,Employment,Unemployment,Unemployment_rate,Latitude,Longitude
Alabama,2011,Jul,59.1,53.4,2201393,1987565,213828,9.7,32.318231,-86.902298
Alabama,2011,Aug,59,53.4,2199378,1988543,210835,9.6,32.318231,-86.902298
Alabama,2011,Sep,58.9,53.4,2197051,1990625,206426,9.4,32.318231,-86.902298
Alabama,2011,Oct,58.8,53.4,2194108,1992980,201128,9.2,32.318231,-86.902298
Alabama,2011,Nov,58.7,53.4,2190069,1994495,195574,8.9,32.318231,-86.902298
Alabama,2011,Dec,58.5,53.4,2185010,1994618,190392,8.7,32.318231,-86.902298
Alabama,2012,Jan,58.3,53.4,2179750,1993523,186227,8.5,32.318231,-86.902298
Alabama,2012,Feb,58.2,53.3,2175635,1992089,183546,8.4,32.318231,-86.902298
Alabama,2012,Mar,58.1,53.2,2173644,1991104,182540,8.4,32.318231,-86.902298
Alabama,2012,Apr,58.1,53.2,2173494,1991037,182457,8.4,32.318231,-86.902298
Alabama,2012,May,58.1,53.2,2174754,1992484,182270,8.4,32.318231,-86.902298
Alabama,2012,Jun,58.1,53.3,2176818,1995546,181272,8.3,32.318231,-86.902298
Alabama,2012,Jul,58.2,53.4,2178985,1999860,179125,8.2,32.318231,-86.902298
Alabama,2012,Aug,58.2,53.5,2180942,2004716,176226,8.1,32.318231,-86.902298
Alabama,2012,Sep,58.2,53.6,2182771,2009352,173419,7.9,32.318231,-86.902298
Alabama,2012,Oct,58.2,53.6,2184006,2012918,171088,7.8,32.318231,-86.902298
Alabama,2012,Nov,58.2,53.7,2184400,2015057,169343,7.8,32.318231,-86.902298
Alabama,2012,Dec,58.1,53.7,2183700,2015725,167975,7.7,32.318231,-86.902298
Alabama,2018,Jan,56.8,54.5,2215203,2127128,88075,4,32.318231,-86.902298
Alabama,2018,Feb,56.9,54.6,2221179,2132739,88440,4,32.318231,-86.902298
Alabama,2018,Mar,57.1,54.8,2228062,2139159,88903,4,32.318231,-86.902298
Alabama,2018,Apr,57.2,54.9,2234186,2144935,89251,4,32.318231,-86.902298
Alabama,2018,May,57.3,55,2238566,2149130,89436,4,32.318231,-86.902298
Alabama,2018,Jun,57.3,55,2241402,2152116,89286,4,32.318231,-86.902298
Alabama,2018,Jul,57.3,55.1,2243084,2154387,88697,4,32.318231,-86.902298
Alabama,2018,Aug,57.3,55.1,2244588,2156606,87982,3.9,32.318231,-86.902298
Alabama,2018,Sep,57.4,55.1,2246778,2159434,87344,3.9,32.318231,-86.902298
Alabama,2018,Oct,57.4,55.2,2250193,2163423,86770,3.9,32.318231,-86.902298
Alabama,2018,Nov,57.5,55.3,2254719,2168540,86179,3.8,32.318231,-86.902298
Alabama,2018,Dec,57.6,55.4,2259852,2174521,85331,3.8,32.318231,-86.902298
Alabama,2019,Jan,57.7,55.5,2263589,2179833,83756,3.7,32.318231,-86.902298
Alabama,2019,Feb,57.7,55.7,2266559,2185279,81280,3.6,32.318231,-86.902298
Alabama,2019,Mar,57.7,55.8,2268168,2190085,78083,3.4,32.318231,-86.902298
Alabama,2019,Apr,57.7,55.8,2269111,2194476,74635,3.3,32.318231,-86.902298
Alabama,2019,May,57.7,55.9,2269962,2198510,71452,3.1,32.318231,-86.902298
Alabama,2019,Jun,57.7,56,2270985,2201977,69008,3,32.318231,-86.902298
Alabama,2019,Jul,57.7,56,2272417,2204800,67617,3,32.318231,-86.902298
Alabama,2019,Aug,57.7,56,2274092,2206900,67192,3,32.318231,-86.902298
Alabama,2019,Sep,57.7,56,2275671,2208390,67281,3,32.318231,-86.902298
Alabama,2019,Oct,57.7,56,2276579,2208634,67945,3,32.318231,-86.902298
Alabama,2019,Nov,57.7,55.9,2276238,2207169,69069,3,32.318231,-86.902298
Alabama,2019,Dec,57.6,55.8,2273576,2203004,70572,3.1,32.318231,-86.902298
Alabama,2020,Jan,57.4,55.6,2268471,2196110,72361,3.2,32.318231,-86.902298
Alabama,2020,Feb,57.2,55.4,2261607,2187306,74301,3.3,32.318231,-86.902298
Alabama,2020,Mar,57,55.1,2254534,2178684,75850,3.4,32.318231,-86.902298
Alabama,2020,Apr,55.4,47.8,2184678,1883870,300808,13.8,32.318231,-86.902298
Alabama,2020,May,57.4,51.5,2266246,2031144,235102,10.4,32.318231,-86.902298
Alabama,2020,Jun,57.5,52.5,2268628,2074405,194223,8.6,32.318231,-86.902298
Alabama,2020,Jul,57.7,53.4,2280092,2109223,170869,7.5,32.318231,-86.902298
Alabama,2020,Aug,57.6,53.9,2277385,2133506,143879,6.3,32.318231,-86.902298
Alabama,2020,Sep,57.7,54.3,2284478,2150107,134371,5.9,32.318231,-86.902298
Alabama,2020,Oct,57.5,54.5,2277308,2158291,119017,5.2,32.318231,-86.902298
Alabama,2020,Nov,57.3,54.5,2270444,2160643,109801,4.8,32.318231,-86.902298
Alabama,2020,Dec,57.1,54.5,2262299,2160217,102082,4.5,32.318231,-86.902298
Alabama,2021,Jan,56.8,54.5,2253279,2159660,93619,4.2,32.318231,-86.902298
Alabama,2021,Feb,56.7,54.5,2248629,2160405,88224,3.9,32.318231,-86.902298
Alabama,2021,Mar,56.7,54.5,2246935,2162572,84363,3.8,32.318231,-86.902298
Alabama,2021,Apr,56.6,54.6,2247271,2164981,82290,3.7,32.318231,-86.902298
Alabama,2021,May,56.6,54.6,2246731,2167046,79685,3.5,32.318231,-86.902298
Alabama,2021,Jun,56.5,54.6,2246086,2168344,77742,3.5,32.318231,-86.902298
Alabama,2021,Jul,56.5,54.6,2244635,2169979,74656,3.3,32.318231,-86.902298
Alabama,2021,Aug,56.4,54.6,2244628,2173361,71267,3.2,32.318231,-86.902298
Alabama,2021,Sep,56.5,54.7,2246602,2178757,67845,3,32.318231,-86.902298
Alabama,2021,Oct,56.5,54.9,2251328,2186102,65226,2.9,32.318231,-86.902298
Alabama,2021,Nov,56.7,55.1,2257124,2194274,62850,2.8,32.318231,-86.902298
Alabama,2021,Dec,56.8,55.3,2263096,2201872,61224,2.7,32.318231,-86.902298
Alabama,2022,Jan,56.9,55.4,2268404,2208370,60034,2.6,32.318231,-86.902298
Alabama,2022,Feb,57,55.5,2272661,2213695,58966,2.6,32.318231,-86.902298
Alabama,2022,Mar,57.1,55.6,2275831,2217678,58153,2.6,32.318231,-86.902298
Alabama,2022,Apr,57.1,55.6,2278068,2220435,57633,2.5,32.318231,-86.902298
Alabama,2022,May,57.1,55.6,2279482,2222097,57385,2.5,32.318231,-86.902298
Alabama,2022,Jun,57.1,55.6,2279880,2222455,57425,2.5,32.318231,-86.902298
Alabama,2022,Jul,57,55.6,2278994,2221323,57671,2.5,32.318231,-86.902298
Alabama,2022,Aug,56.9,55.5,2277381,2219569,57812,2.5,32.318231,-86.902298
Alabama,2022,Sep,56.8,55.4,2275824,2218308,57516,2.5,32.318231,-86.902298
Alabama,2022,Oct,56.8,55.4,2275385,2218519,56866,2.5,32.318231,-86.902298
Alabama,2022,Nov,56.8,55.4,2276701,2220791,55910,2.5,32.318231,-86.902298
Alabama,2022,Dec,56.8,55.4,2279933,2225087,54846,2.4,32.318231,-86.902298
Alaska,2006,Jan,71.3,66.3,346388,322315,24073,6.9,63.588753,-154.493062
Alaska,2006,Feb,71.2,66.3,346742,322936,23806,6.9,63.588753,-154.493062
Alaska,2006,Mar,71.2,66.4,347278,323717,23561,6.8,63.588753,-154.493062
Alaska,2006,Apr,71.2,66.4,347940,324533,23407,6.7,63.588753,-154.493062
Alaska,2006,May,71.2,66.5,348562,325248,23314,6.7,63.588753,-154.493062
Alaska,2006,Jun,71.2,66.5,349037,325825,23212,6.7,63.588753,-154.493062
Alaska,2006,Jul,71.2,66.5,349357,326290,23067,6.6,63.588753,-154.493062
Alaska,2006,Aug,71.2,66.5,349634,326706,22928,6.6,63.588753,-154.493062
Alaska,2006,Sep,71.1,66.5,349874,327071,22803,6.5,63.588753,-154.493062
Alaska,2006,Oct,71.1,66.5,350052,327406,22646,6.5,63.588753,-154.493062
Alaska,2006,Nov,71.1,66.5,350202,327755,22447,6.4,63.588753,-154.493062
Alaska,2006,Dec,71,66.5,350246,328038,22208,6.3,63.588753,-154.493062
Alaska,2007,Jan,70.9,66.5,350083,328102,21981,6.3,63.588753,-154.493062
Alaska,2007,Feb,70.8,66.4,349811,327999,21812,6.2,63.588753,-154.493062
Alaska,2007,Mar,70.7,66.3,349471,327774,21697,6.2,63.588753,-154.493062
Alaska,2007,Apr,70.6,66.2,349168,327497,21671,6.2,63.588753,-154.493062
Alaska,2007,May,70.5,66.1,349067,327322,21745,6.2,63.588753,-154.493062
Alaska,2007,Jun,70.5,66,349218,327344,21874,6.3,63.588753,-154.493062
Alaska,2007,Jul,70.5,66,349601,327600,22001,6.3,63.588753,-154.493062
Alaska,2007,Aug,70.5,66.1,350146,328057,22089,6.3,63.588753,-154.493062
Alaska,2007,Sep,70.6,66.1,350731,328614,22117,6.3,63.588753,-154.493062
Alaska,2007,Oct,70.6,66.2,351277,329175,22102,6.3,63.588753,-154.493062
Alaska,2007,Nov,70.6,66.2,351710,329677,22033,6.3,63.588753,-154.493062
Alaska,2007,Dec,70.7,66.3,352134,330190,21944,6.2,63.588753,-154.493062
Alaska,2008,Jan,70.7,66.3,352640,330728,21912,6.2,63.588753,-154.493062
Alaska,2008,Feb,70.8,66.4,353200,331231,21969,6.2,63.588753,-154.493062
Alaska,2008,Mar,70.9,66.4,353867,331722,22145,6.3,63.588753,-154.493062
Alaska,2008,Apr,71,66.5,354642,332225,22417,6.3,63.588753,-154.493062
Alaska,2008,May,71,66.5,355376,332635,22741,6.4,63.588753,-154.493062
Alaska,2008,Jun,71.1,66.5,355922,332865,23057,6.5,63.588753,-154.493062
Alaska,2008,Jul,71.1,66.4,356199,332941,23258,6.5,63.588753,-154.493062
Alaska,2008,Aug,70.9,66.3,356256,332935,23321,6.5,63.588753,-154.493062
Alaska,2008,Sep,70.8,66.2,356278,332909,23369,6.6,63.588753,-154.493062
Alaska,2008,Oct,70.7,66,356381,332820,23561,6.6,63.588753,-154.493062
Alaska,2008,Nov,70.6,65.8,356617,332618,23999,6.7,63.588753,-154.493062
Alaska,2008,Dec,70.5,65.6,357004,332312,24692,6.9,63.588753,-154.493062
Alaska,2009,Jan,70.5,65.4,357527,331939,25588,7.2,63.588753,-154.493062
Alaska,2009,Feb,70.5,65.2,358159,331565,26594,7.4,63.588753,-154.493062
Alaska,2009,Mar,70.5,65,358815,331287,27528,7.7,63.588753,-154.493062
Alaska,2009,Apr,70.4,64.9,359404,331163,28241,7.9,63.588753,-154.493062
Alaska,2009,May,70.4,64.8,359892,331161,28731,8,63.588753,-154.493062
Alaska,2009,Jun,70.3,64.6,360268,331193,29075,8.1,63.588753,-154.493062
Alaska,2009,Jul,70.2,64.5,360424,331095,29329,8.1,63.588753,-154.493062
Alaska,2009,Aug,70.1,64.4,360299,330803,29496,8.2,63.588753,-154.493062
Alaska,2009,Sep,70.1,64.3,360018,330431,29587,8.2,63.588753,-154.493062
Alaska,2009,Oct,70,64.2,359711,330034,29677,8.3,63.588753,-154.493062
Alaska,2009,Nov,69.9,64.1,359647,329798,29849,8.3,63.588753,-154.493062
Alaska,2009,Dec,70,64.1,359932,329829,30103,8.4,63.588753,-154.493062
Alaska,2010,Jan,70,64.1,360431,330113,30318,8.4,63.588753,-154.493062
Alaska,2010,Feb,70.1,64.2,360957,330579,30378,8.4,63.588753,-154.493062
Alaska,2010,Mar,70.2,64.3,361357,331099,30258,8.4,63.588753,-154.493062
Alaska,2010,Apr,70.1,64.3,361538,331564,29974,8.3,63.588753,-154.493062
Alaska,2010,May,70,64.2,361511,331982,29529,8.2,63.588753,-154.493062
Alaska,2010,Jun,69.8,64.2,361350,332315,29035,8,63.588753,-154.493062
Alaska,2010,Jul,69.6,64.1,361237,332532,28705,7.9,63.588753,-154.493062
Alaska,2010,Aug,69.5,64,361349,332690,28659,7.9,63.588753,-154.493062
Alaska,2010,Sep,69.5,63.9,361682,332846,28836,8,63.588753,-154.493062
Alaska,2010,Oct,69.4,63.9,362226,333152,29074,8,63.588753,-154.493062
Alaska,2010,Nov,69.4,63.8,362765,333546,29219,8.1,63.588753,-154.493062
Alaska,2010,Dec,69.3,63.8,363140,333936,29204,8,63.588753,-154.493062
Alaska,2011,Jan,69.3,63.8,363404,334356,29048,8,63.588753,-154.493062
Alaska,2011,Feb,69.2,63.7,363514,334711,28803,7.9,63.588753,-154.493062
Alaska,2011,Mar,69.1,63.7,363451,334935,28516,7.8,63.588753,-154.493062
Alaska,2011,Apr,69,63.6,363367,335095,28272,7.8,63.588753,-154.493062
Alaska,2011,May,68.9,63.6,363406,335267,28139,7.7,63.588753,-154.493062
Alaska,2011,Jun,68.8,63.5,363679,335579,28100,7.7,63.588753,-154.493062
Alaska,2011,Jul,68.8,63.5,364268,336147,28121,7.7,63.588753,-154.493062
Alaska,2011,Aug,68.9,63.6,365018,336857,28161,7.7,63.588753,-154.493062
Alaska,2011,Sep,68.9,63.6,365643,337487,28156,7.7,63.588753,-154.493062
Alaska,2011,Oct,68.9,63.6,365963,337901,28062,7.7,63.588753,-154.493062
Alaska,2011,Nov,68.8,63.6,365959,338096,27863,7.6,63.588753,-154.493062
Alaska,2011,Dec,68.7,63.5,365671,338095,27576,7.5,63.588753,-154.493062
Alaska,2012,Jan,68.6,63.5,365200,337946,27254,7.5,63.588753,-154.493062
Alaska,2012,Feb,68.4,63.4,364748,337774,26974,7.4,63.588753,-154.493062
Alaska,2012,Mar,68.3,63.3,364426,337625,26801,7.4,63.588753,-154.493062
Alaska,2012,Apr,68.2,63.2,364174,337455,26719,7.3,63.588753,-154.493062
Alaska,2012,May,68.1,63.1,364032,337365,26667,7.3,63.588753,-154.493062
Alaska,2012,Jun,68,63.1,363960,337406,26554,7.3,63.588753,-154.493062
Alaska,2012,Jul,67.9,63,363887,337576,26311,7.2,63.588753,-154.493062
Alaska,2012,Aug,67.9,63,363879,337853,26026,7.2,63.588753,-154.493062
Alaska,2012,Sep,67.9,63.1,364057,338216,25841,7.1,63.588753,-154.493062
Alaska,2012,Oct,67.9,63.1,364283,338526,25757,7.1,63.588753,-154.493062
Alaska,2012,Nov,67.9,63.1,364384,338657,25727,7.1,63.588753,-154.493062
Alaska,2012,Dec,67.8,63,364287,338581,25706,7.1,63.588753,-154.493062
Alaska,2018,Jan,65.4,61.2,357218,334382,22836,6.4,63.588753,-154.493062
Alaska,2018,Feb,65.4,61.2,356853,334378,22475,6.3,63.588753,-154.493062
Alaska,2018,Mar,65.3,61.3,356657,334582,22075,6.2,63.588753,-154.493062
Alaska,2018,Apr,65.3,61.3,356476,334807,21669,6.1,63.588753,-154.493062
Alaska,2018,May,65.3,61.4,356226,334894,21332,6,63.588753,-154.493062
Alaska,2018,Jun,65.2,61.4,355900,334808,21092,5.9,63.588753,-154.493062
Alaska,2018,Jul,65.2,61.3,355486,334563,20923,5.9,63.588753,-154.493062
Alaska,2018,Aug,65.1,61.2,355014,334161,20853,5.9,63.588753,-154.493062
Alaska,2018,Sep,65,61.1,354523,333616,20907,5.9,63.588753,-154.493062
Alaska,2018,Oct,64.9,61,354115,333060,21055,5.9,63.588753,-154.493062
Alaska,2018,Nov,64.9,61,353807,332606,21201,6,63.588753,-154.493062
Alaska,2018,Dec,64.8,60.9,353511,332298,21213,6,63.588753,-154.493062
Alaska,2019,Jan,64.6,60.7,352328,331192,21136,6,63.588753,-154.493062
Alaska,2019,Feb,64.6,60.7,351903,331135,20768,5.9,63.588753,-154.493062
Alaska,2019,Mar,64.5,60.8,351616,331274,20342,5.8,63.588753,-154.493062
Alaska,2019,Apr,64.5,60.9,351621,331627,19994,5.7,63.588753,-154.493062
Alaska,2019,May,64.6,60.9,351866,332069,19797,5.6,63.588753,-154.493062
Alaska,2019,Jun,64.6,61,352181,332432,19749,5.6,63.588753,-154.493062
Alaska,2019,Jul,64.7,61.1,352431,332652,19779,5.6,63.588753,-154.493062
Alaska,2019,Aug,64.7,61.1,352519,332767,19752,5.6,63.588753,-154.493062
Alaska,2019,Sep,64.7,61.1,352392,332908,19484,5.5,63.588753,-154.493062
Alaska,2019,Oct,64.6,61.1,352084,332997,19087,5.4,63.588753,-154.493062
Alaska,2019,Nov,64.6,61.1,351830,333059,18771,5.3,63.588753,-154.493062
Alaska,2019,Dec,64.6,61.1,351737,333034,18703,5.3,63.588753,-154.493062
Alaska,2020,Jan,64.6,61.1,351685,332791,18894,5.4,63.588753,-154.493062
Alaska,2020,Feb,64.5,61,351465,332259,19206,5.5,63.588753,-154.493062
Alaska,2020,Mar,64.5,60.9,351025,331664,19361,5.5,63.588753,-154.493062
Alaska,2020,Apr,61.8,54.6,336153,296988,39165,11.7,63.588753,-154.493062
Alaska,2020,May,63.4,55.9,344563,304021,40542,11.8,63.588753,-154.493062
Alaska,2020,Jun,63.7,56.5,346125,307267,38858,11.2,63.588753,-154.493062
Alaska,2020,Jul,64.3,57.2,349901,310974,38927,11.1,63.588753,-154.493062
Alaska,2020,Aug,63.2,57.8,343886,314243,29643,8.6,63.588753,-154.493062
Alaska,2020,Sep,63.3,58.3,344411,317357,27054,7.9,63.588753,-154.493062
Alaska,2020,Oct,63.3,58.7,344706,319654,25052,7.3,63.588753,-154.493062
Alaska,2020,Nov,63.5,59,345973,321397,24576,7.1,63.588753,-154.493062
Alaska,2020,Dec,63.8,59.2,347391,322591,24800,7.1,63.588753,-154.493062
Alaska,2021,Jan,63.9,59.4,347875,323507,24368,7,63.588753,-154.493062
Alaska,2021,Feb,64,59.6,348730,324348,24382,7,63.588753,-154.493062
Alaska,2021,Mar,64.2,59.7,349741,325207,24534,7,63.588753,-154.493062
Alaska,2021,Apr,64.3,59.8,350704,326079,24625,7,63.588753,-154.493062
Alaska,2021,May,64.4,60,350892,326963,23929,6.8,63.588753,-154.493062
Alaska,2021,Jun,64.5,60.1,351760,327925,23835,6.8,63.588753,-154.493062
Alaska,2021,Jul,64.4,60.3,351643,329032,22611,6.4,63.588753,-154.493062
Alaska,2021,Aug,64.5,60.5,352154,330342,21812,6.2,63.588753,-154.493062
Alaska,2021,Sep,64.6,60.8,352421,331769,20652,5.9,63.588753,-154.493062
Alaska,2021,Oct,64.8,61.1,353440,333367,20073,5.7,63.588753,-154.493062
Alaska,2021,Nov,64.9,61.4,354186,334855,19331,5.5,63.588753,-154.493062
Alaska,2021,Dec,65.1,61.6,355107,336142,18965,5.3,63.588753,-154.493062
Alaska,2022,Jan,65.2,61.8,355568,337249,18319,5.2,63.588753,-154.493062
Alaska,2022,Feb,65.1,62,355204,338157,17047,4.8,63.588753,-154.493062
Alaska,2022,Mar,65,62.1,354756,338840,15916,4.5,63.588753,-154.493062
Alaska,2022,Apr,65,62.2,354538,339318,15220,4.3,63.588753,-154.493062
Alaska,2022,May,64.9,62.2,354288,339565,14723,4.2,63.588753,-154.493062
Alaska,2022,Jun,64.9,62.2,353955,339563,14392,4.1,63.588753,-154.493062
Alaska,2022,Jul,64.7,62.2,353258,339281,13977,4,63.588753,-154.493062
Alaska,2022,Aug,64.5,62.1,352342,338881,13461,3.8,63.588753,-154.493062
Alaska,2022,Sep,64.5,62,352410,338543,13867,3.9,63.588753,-154.493062
Alaska,2022,Oct,64.5,61.9,352517,338438,14079,4,63.588753,-154.493062
Alaska,2022,Nov,64.5,61.9,352811,338688,14123,4,63.588753,-154.493062
Alaska,2022,Dec,64.6,62,353289,339263,14026,4,63.588753,-154.493062
Arizona,2006,Jan,63.9,61.1,2916314,2785456,130858,4.5,34.048928,-111.093731
Arizona,2006,Feb,64,61.1,2926379,2796970,129409,4.4,34.048928,-111.093731
Arizona,2006,Mar,64,61.2,2937047,2808195,128852,4.4,34.048928,-111.093731
Arizona,2006,Apr,64.1,61.3,2947857,2818660,129197,4.4,34.048928,-111.093731
Arizona,2006,May,64.1,61.3,2958210,2828396,129814,4.4,34.048928,-111.093731
Arizona,2006,Jun,64.2,61.3,2967768,2837632,130136,4.4,34.048928,-111.093731
Arizona,2006,Jul,64.2,61.4,2977028,2847274,129754,4.4,34.048928,-111.093731
Arizona,2006,Aug,64.2,61.5,2986508,2857798,128710,4.3,34.048928,-111.093731
Arizona,2006,Sep,64.3,61.5,2995813,2868713,127100,4.2,34.048928,-111.093731
Arizona,2006,Oct,64.3,61.6,3004252,2879213,125039,4.2,34.048928,-111.093731
Arizona,2006,Nov,64.3,61.7,3011163,2888274,122889,4.1,34.048928,-111.093731
Arizona,2006,Dec,64.2,61.7,3015741,2894953,120788,4,34.048928,-111.093731
Arizona,2007,Jan,64.1,61.6,3017695,2899008,118687,3.9,34.048928,-111.093731
Arizona,2007,Feb,64,61.5,3017647,2901286,116361,3.9,34.048928,-111.093731
Arizona,2007,Mar,63.8,61.4,3015955,2902281,113674,3.8,34.048928,-111.093731
Arizona,2007,Apr,63.6,61.3,3013261,2902557,110704,3.7,34.048928,-111.093731
Arizona,2007,May,63.4,61.2,3010820,2902959,107861,3.6,34.048928,-111.093731
Arizona,2007,Jun,63.3,61.1,3009749,2904001,105748,3.5,34.048928,-111.093731
Arizona,2007,Jul,63.2,60.9,3010496,2905303,105193,3.5,34.048928,-111.093731
Arizona,2007,Aug,63.1,60.9,3013553,2906699,106854,3.5,34.048928,-111.093731
Arizona,2007,Sep,63.1,60.8,3018977,2908422,110555,3.7,34.048928,-111.093731
Arizona,2007,Oct,63.1,60.7,3026157,2910471,115686,3.8,34.048928,-111.093731
Arizona,2007,Nov,63.1,60.6,3033968,2912955,121013,4,34.048928,-111.093731
Arizona,2007,Dec,63.2,60.6,3041613,2915755,125858,4.1,34.048928,-111.093731
